FirstIng,SecondIng,commonComp
1132.0,1356.0,18
1132.0,749.0,0
1132.0,396.0,23
1132.0,1216.0,15
1132.0,735.0,21
1132.0,1399.0,10
1132.0,1197.0,40
1132.0,133.0,6
1132.0,1183.0,0
1132.0,1140.0,6
1132.0,64.0,9
1132.0,1428.0,30
1132.0,112.0,9
1132.0,260.0,19
1132.0,205.0,16
1132.0,1133.0,20
1132.0,516.0,0
1132.0,483.0,0
1132.0,361.0,15
1132.0,152.0,3
1132.0,1120.0,34
1132.0,296.0,15
1132.0,1382.0,0
1132.0,878.0,10
1132.0,590.0,56
1132.0,466.0,20
1132.0,1251.0,5
1132.0,1488.0,16
1132.0,638.0,0
1132.0,994.0,25
1132.0,652.0,10
1132.0,105.0,13
1132.0,18.0,0
1132.0,1469.0,1
1132.0,1232.0,6
1132.0,1370.0,6
1257.0,849.0,6
1257.0,579.0,9
1257.0,1338.0,29
1257.0,385.0,31
1257.0,1088.0,24
1257.0,619.0,43
1257.0,1320.0,20
1257.0,19.0,26
1257.0,248.0,42
1257.0,417.0,26
1257.0,1356.0,19
1257.0,749.0,0
1257.0,396.0,36
1257.0,1216.0,22
1257.0,735.0,24
1257.0,1399.0,18
1257.0,1197.0,67
1257.0,133.0,8
1257.0,1183.0,0
1257.0,1140.0,11
1257.0,64.0,18
1257.0,1428.0,51
1257.0,112.0,14
1257.0,260.0,34
1257.0,205.0,24
1257.0,1133.0,28
1257.0,516.0,0
1257.0,483.0,0
1257.0,361.0,29
1257.0,152.0,6
1257.0,1120.0,48
1257.0,296.0,25
1257.0,1382.0,0
1257.0,878.0,17
1257.0,590.0,57
1257.0,466.0,29
1257.0,1251.0,6
1257.0,1488.0,30
1257.0,638.0,0
1257.0,994.0,44
1257.0,652.0,12
1257.0,105.0,17
1257.0,18.0,1
1257.0,1469.0,7
1257.0,1232.0,10
1257.0,1370.0,8
849.0,579.0,7
849.0,1338.0,1
849.0,385.0,2
849.0,1088.0,1
849.0,619.0,1
849.0,1320.0,5
849.0,19.0,1
849.0,248.0,1
849.0,417.0,1
849.0,1356.0,6
849.0,749.0,0
849.0,396.0,0
849.0,1216.0,6
849.0,735.0,3
849.0,1399.0,1
849.0,1197.0,4
849.0,133.0,1
849.0,1183.0,0
849.0,1140.0,0
849.0,64.0,1
849.0,1428.0,2
849.0,112.0,5
849.0,260.0,1
849.0,205.0,1
849.0,1133.0,3
849.0,516.0,0
849.0,483.0,0
849.0,361.0,0
849.0,152.0,1
849.0,1120.0,6
849.0,296.0,0
849.0,1382.0,0
849.0,878.0,0
849.0,590.0,5
849.0,466.0,2
849.0,1251.0,0
849.0,1488.0,1
849.0,638.0,0
849.0,994.0,2
849.0,652.0,0
849.0,105.0,0
849.0,18.0,0
849.0,1469.0,0
849.0,1232.0,0
849.0,1370.0,0
579.0,1338.0,1
579.0,385.0,3
579.0,1088.0,2
579.0,619.0,1
579.0,1320.0,8
579.0,19.0,0
579.0,248.0,2
579.0,417.0,0
579.0,1356.0,9
579.0,749.0,0
579.0,396.0,0
579.0,1216.0,8
579.0,735.0,4
579.0,1399.0,2
579.0,1197.0,6
579.0,133.0,1
579.0,1183.0,0
579.0,1140.0,1
579.0,64.0,1
579.0,1428.0,2
579.0,112.0,6
579.0,260.0,2
579.0,205.0,2
579.0,1133.0,3
579.0,516.0,0
579.0,483.0,0
579.0,361.0,0
579.0,152.0,1
579.0,1120.0,6
579.0,296.0,1
579.0,1382.0,0
579.0,878.0,0
579.0,590.0,7
579.0,466.0,2
579.0,1251.0,0
579.0,1488.0,0
579.0,638.0,0
579.0,994.0,0
579.0,652.0,0
579.0,105.0,0
579.0,18.0,0
579.0,1469.0,0
579.0,1232.0,0
579.0,1370.0,0
1338.0,385.0,49
1338.0,1088.0,32
1338.0,619.0,43
1338.0,1320.0,7
1338.0,19.0,84
1338.0,248.0,98
1338.0,417.0,80
1338.0,1356.0,4
1338.0,749.0,0
1338.0,396.0,61
1338.0,1216.0,11
1338.0,735.0,13
1338.0,1399.0,21
